Model,RearCameraMegapixel,FrontCameraMegapixel,RearCameraPhotoWidth,RearCameraPhotoHeight,FrontCameraPhotoWidth,FrontCameraPhotoHeight
Samsung Galaxy S7,12,5,4000,3000,2592,1936
Samsung Galaxy J1 Ace Neo,5,2,2592,1936,1600,1200
HTC 10,12,5,4000,3000,2592,1936
LG G5,16,8,5312,2988,3264,2448
Sony Xperia X Performance,23,13,5520,4140,4208,3120
Huawei P9,12,8,4000,3000,3264,2448
BlackBerry DTEK50,13,8,4208,3120,3264,2448
OnePlus 3,16,8,5312,2988,3264,2448
Microsoft Lumia 950,20,5,5376,3744,2592,1936
Microsoft Lumia 950 XL,20,5,5376,3744,2592,1936
HTC One M9,20.7,4,5376,3752,2688,1520
LG V10,16,5,5312,2988,2592,1944
Nexus 6P,12.3,8,4032,3024,3264,2448
Nexus 5X,12.3,5,4032,3024,2592,1936
BlackBerry Priv,18,2,4896,3672,1600,1200
Sony Xperia Z3+,20.7,5.1,5248,3936,2592,1944
Moto X Play,21,5,5344,4008,2592,1936
LG G4,16,8,5312,2988,3264,2448
OnePlus 2,13,5,4208,3120,2592,1944
Apple iPhone 6S,12,5,4608,2592,2592,1944
Apple iPhone 6S Plus,12,5,4608,2592,2592,1944
Samsung Galaxy S6,16,5,5312,2988,2592,1944
Samsung Galaxy S6 Edge,16,5,5312,2988,2592,1944
Samsung Galaxy S6 Edge+,16,5,5312,2988,2592,1944
Samsung Galaxy Note 5,16,5,5312,2988,2592,1944
Sony Xperia Z5,23,5,5520,4140,2592,1944
HTC One (M8),4,5,2688,1520,2592,1944
LG G3,13,2.1,4208,3120,1920,1080
Apple iPhone 6,8,1.2,3264,2448,1280,960
Apple iPhone 6 Plus,8,1.2,3264,2448,1280,960
Samsung Galaxy S5,16,2.1,5312,2988,1920,1080
Samsung Galaxy Note 4,16,3.7,5312,2988,2560,1440
Sony Xperia Z3,20.7,2.2,5248,3936,1920,1080
HTC One,4,2.1,2688,1520,1920,1080
LG Nexus 5,8,1.3,3264,2448,1280,1024
Apple iPhone 5S,8,1.2,3264,2448,1280,960
BlackBerry Z10,8,2,3264,2448,1600,1200
Blackberry Z30,8,2,3264,2448,1600,1200
LG G2,13,2.1,4208,3120,1920,1080
Samsung Galaxy S4,13.1,2,4208,3120,1600,1200
Sony Xperia L,8,0.3,3264,2448,640,480
Sony Xperia Z1,20.7,2,5248,3936,1600,1200
Sony Xperia Z,13.1,2.2,4208,3120,1920,1080
Sony Xperia ZL,13,2,4208,3120,1600,1200
Sony Xperia SP,8,0.3,3264,2448,640,480
YotaPhone,13,0.3,4208,3120,640,480
Pantech Vega Secret Note,13,2,4208,3120,1600,1200
Apple iPhone 5,8,1.2,3264,2448,1280,960
HTC One V,5,0,2592,1936,0,0
HTC One S,8,0.3,3264,2448,640,480
HTC One X,8,1.3,3264,2448,1280,1024
HTC One X+,8,1.6,3264,2448,1680,960
Nexus 4,8,1.3,3264,2448,1280,1024
Nokia Lumia 900,8,1.3,3264,2448,1280,1024
Nokia Lumia 920,8,1.3,3264,2448,1280,1024
Samsung Exhibit II 4G,3,0,2048,1536,0,0
Samsung Galaxy Note II,8,1.9,3264,2448,1600,1200
Samsung Galaxy S III GT-I9300,8,1.9,3264,2448,1600,1200
Samsung Galaxy S III SHV-E210,8,1.9,3264,2448,1600,1200
Samsung Galaxy S III SGH-T999,8,1.9,3264,2448,1600,1200
Samsung Galaxy S III GT-I9305,8,1.9,3264,2448,1600,1200
Samsung Galaxy S III mini,5,0.3,2592,1936,640,480
Sony Xperia V,13,0.3,4208,3120,640,480
Sony Xperia S,12.1,1.3,4000,3000,1280,1024
Sony Xperia Sola,5,0,2592,1936,0,0
Samsung ATIV S,8,0,3264,2448,0,0
Apple iPhone 4S,8,0.3,3264,2448,640,480
